grid_id,経度,緯度,市役所からの距離_m,DEM地表種別,標高_m,最近接河川,河川からの距離_m,内水浸水ランク,内水想定浸水深,外水浸水ランク_num,外水想定浸水深,最大ランク河川
3944,132.4659683,34.3733293,1650.8,地表面,0.04,京橋川,473.6,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3945,132.4659547,34.3737798,1610.1,地表面,-0.26,京橋川,467.4,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
3946,132.4659412,34.3742303,1570.0,地表面,0.14,京橋川,445.4,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3947,132.4659276,34.3746808,1530.5,地表面,0.34,京橋川,423.4,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3948,132.465914,34.3751312,1491.6,地表面,0.44,京橋川,401.5,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3949,132.4659004,34.3755817,1453.4,地表面,0.04,京橋川,379.5,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3950,132.4658869,34.3760322,1416.0,地表面,0.74,京橋川,354.1,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3951,132.4658733,34.3764827,1379.3,地表面,0.54,京橋川,328.7,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3952,132.4658597,34.3769331,1343.5,地表面,0.34,京橋川,303.0,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3953,132.4658461,34.3773836,1308.6,地表面,0.34,京橋川,274.0,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3954,132.4658326,34.3778341,1274.8,地表面,0.84,京橋川,245.1,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3955,132.465819,34.3782846,1242.0,地表面,0.94,京橋川,215.5,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3956,132.4658054,34.378735,1210.4,地表面,1.14,京橋川,182.6,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3957,132.4657918,34.3791855,1180.0,地表面,1.04,京橋川,149.6,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3958,132.4657782,34.379636,1151.1,地表面,0.94,京橋川,116.7,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3959,132.4657647,34.3800865,1123.6,地表面,1.64,京橋川,83.7,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3960,132.4657511,34.3805369,1097.7,地表面,1.14,京橋川,50.7,00,想定区域外,0,想定区域外,
3961,132.4657375,34.3809874,1073.5,内水面,0.34,京橋川,17.8,00,想定区域外,0,想定区域外,
3962,132.4657239,34.3814379,1051.2,内水面,0.24,京橋川,15.2,00,想定区域外,0,想定区域外,
3963,132.4657103,34.3818884,1030.8,内水面,0.34,京橋川,48.1,00,想定区域外,0,想定区域外,
3964,132.4656968,34.3823388,1012.4,地表面,2.64,京橋川,81.1,00,想定区域外,2,0.5～3.0m未満,元安川・太田川・旧太田川
3965,132.4656832,34.3827893,996.2,地表面,1.64,京橋川,114.0,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3966,132.4656696,34.3832398,982.3,地表面,0.84,京橋川,147.0,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3967,132.465656,34.3836903,970.8,地表面,1.14,京橋川,180.0,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
